"","autoctr","StockCode","sciname","ReproducRefNo","ReproMode","Fertilization","MatingSystem","MonogamyType","MatingRefNo","MatingQuality","Spawning","BatchSpawner","SpawnModRef","RepGuild1","RepGuild2","ParentalCare","ParentalCareQ","ParentalCareRef","RepAquarium","RepAquaRef","Entered","DateEntered","Modified","DateModified","Expert","DateChecked","AddInfos","TS","SpecCode"
"370",3128,8889,"Cyprichromis microlepidotus",2060,"dioecism","in mouth",NA,NA,NA,NA,NA,0,NA,"bearers","external brooders",NA,NA,NA,NA,NA,1057,"2003-07-02T00:00:00.000Z",1057,"2003-07-02T16:48:35.000Z",NA,NA,"Female mouth brooder, about 25 eggs.",NA,8574
"371",1266,2420,"Cyrtocara moorii",1672,"dioecism","in mouth",NA,NA,NA,NA,NA,0,NA,"bearers","external brooders","maternal","1",1672,NA,NA,339,"1998-06-30T00:00:00.000Z",2,"2008-08-22T00:00:00.000Z",NA,NA,"Female takes brood into her mouth and takes care of the young (Ref. 1672).",NA,2221
"372",5825,12653,"Dicrossus filamentosus",1672,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"guarders","clutch tenders",NA,NA,NA,NA,NA,339,"1998-06-30T00:00:00.000Z",NA,"1998-06-30T00:00:00.000Z",NA,NA,NA,NA,12325
"373",1234,2336,"Dimidiochromis compressiceps",1672,"dioecism","in mouth",NA,NA,NA,NA,NA,0,NA,"bearers","external brooders",NA,NA,NA,NA,NA,339,"1998-06-30T00:00:00.000Z",NA,"1998-06-30T00:00:00.000Z",NA,NA,NA,NA,2137
"374",1233,2335,"Dimidiochromis kiwinge",6307,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"guarders",NA,NA,NA,NA,NA,NA,10,"1993-11-18T00:00:00.000Z",NA,"1993-11-18T00:00:00.000Z",NA,NA,"Guards the young for about 4 days.      ",NA,2136
"375",1232,2333,"Dimidiochromis strigatus",1672,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"guarders","clutch tenders",NA,NA,NA,NA,NA,339,"1998-06-30T00:00:00.000Z",NA,"1998-08-20T00:00:00.000Z",NA,NA,NA,NA,2134
"376",9209,47130,"Diplotaxodon limnothrissa",55949,NA,NA,NA,NA,NA,NA,NA,0,NA,"bearers","external brooders",NA,NA,NA,NA,NA,1307,"2005-09-29T18:21:48.000Z",1307,"2005-12-08T18:23:09.000Z",NA,NA,"Males in breeding dress were found throughout the year; ripe adults and mouthbrooding females were recorded at depths of 50-125m; largest fry found in the mouth of females were 3cm TL, but a maximum of only 1-2 such large fry were found per female; juveniles of 40-50mm were found in many locations (Ref. 55949).",NA,57569
"377",9990,55082,"Enigmatochromis lucanusi",81928,NA,"external",NA,NA,NA,NA,NA,0,NA,"guarders",NA,NA,NA,NA,NA,NA,1016,"2009-08-04T21:50:06.000Z",NA,"2009-08-04T21:50:06.000Z",NA,NA,"In aquaria, the species is a monogamous, pair bonding, cave spawner. Eggs are guarded by both sexes, but more intensively by the female. Hatching occurs after three days post-spawn.
Larvae are normally deposited on the bottom of the cave, rarely in other caves nearby the original cave. Juveniles are free swimming 8 or 9 days post-hatching, and are guarded by both parents for about 5 to 6 weeks. Breeding and guarding individuals of both sexes regularly exhibit more aggressive and intensive coloration. The dark, longitudinal stripe that is typical for breeding and guarding specimens of both sexes in
many other cave breeders of the chromidotilapiine lineage (e.g., <i>Pelvicachromis</i>, <i>Congochromis</i>, and <i>Parananochromis</i>) is prominently visible in males, but is more rarely and weakly visible in females. In this
character, females of Enigmatochromis differ from females of <i>Pelvicachromis</i>, <i>Congochromis</i> and <i>Parananochromis</i>, where a prominent dark, longitudinal stripe is typical for females (and only rarely for males) during the first 2 to 4 weeks when guarding fry (Ref. 81928).",NA,65035
"378",3129,8892,"Eretmodus cyanostictus",1672,"dioecism","external","monogamy",NA,49780,"1",NA,0,NA,"bearers","external brooders","biparental","1",49780,NA,NA,339,"1998-06-30T00:00:00.000Z",2,"2011-04-21T00:00:00.000Z",NA,NA,"Eggs from the cleavage phase and larvae of up to 1.09 cm TL are mouthbrooded by male and female parents ranging from 4.7 to 6.2 cm SL (Ref. 86760).",NA,8577
"379",4499,9021,"Etroplus maculatus",6028,"dioecism","external",NA,NA,NA,NA,NA,0,13371,"guarders","nesters","biparental","1",6028,"Medium",7020,10,"1996-09-29T00:00:00.000Z",2,"2017-08-01T00:00:00.000Z",1,"2000-03-03T00:00:00.000Z","Spawns in shallow water, on a soft depression excavated by both parents. About 200 eggs are laid and hatch after 5 days, during which time the parents tend, and if necessary fan them. One parent always remains with the eggs while the other forages. Fry are guarded by parents until they almost reach sexual maturity.",NA,8703
"380",2342,4899,"Etroplus suratensis",6028,"dioecism","external",NA,NA,NA,NA,"throughout the year, but peaking once",1,32693,"guarders","clutch tenders",NA,NA,NA,"Medium",7020,10,"1996-09-10T00:00:00.000Z",97,"2006-08-04T00:00:00.000Z",NA,NA,"After spawning, about 500 eggs are laid and attached to a submerged log, rock or sometimes roots and weeds, in still or slow flowing water. Parents guard and fan the eggs until hatching, usually about 4 days. The fry shoal around their parents during the first weeks of growth. Parents refrain from feeding from the time of spawning until the fry become independent.",NA,4681
"381",1282,2468,"Fossorochromis rostratus",1672,"dioecism","in mouth",NA,NA,NA,NA,NA,0,NA,"bearers","external brooders",NA,NA,NA,NA,NA,339,"1998-06-30T00:00:00.000Z",1057,"2003-07-07T15:13:17.000Z",NA,NA,"Female mouth brooder, gestation period: three weeks, about 50-100 young, (Ref. 2059).",NA,2270
"382",8145,39529,"Geophagus argyrostictus",26504,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"guarders","clutch tenders",NA,NA,NA,NA,NA,1,"1998-04-30T00:00:00.000Z",2,"2017-08-02T00:00:00.000Z",NA,NA,"This fish is a substrate spawner and is becoming well established in the aquarium trade (Ref. 12251).",NA,46930
"383",8146,39532,"Geophagus brachybranchus",26504,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"bearers","external brooders",NA,NA,NA,NA,NA,1,"1998-04-30T00:00:00.000Z",NA,"1998-04-30T00:00:00.000Z",NA,NA,"Larvophile mouthbrooders.",NA,46933
"384",2392,4975,"Geophagus brasiliensis",1672,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"guarders","clutch tenders",NA,NA,NA,NA,NA,339,"1998-06-30T00:00:00.000Z",NA,"1998-06-30T00:00:00.000Z",NA,NA,NA,NA,4751
"385",12187,12698,"Geophagus pellegrini",NA,"dioecism","external","polygyny",NA,12251,NA,NA,0,NA,"guarders","external brooders","maternal","1",12251,NA,NA,2,"2017-08-02T00:00:00.000Z",NA,"2017-08-02T00:00:00.000Z",NA,NA,"The females carry the brood in this mouthbrooding species. Males often spawn with many females at the same time if there is a surplus of them (Ref. 12251).",NA,12369
"386",7404,20333,"Geophagus proximus",26504,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"bearers","external brooders",NA,NA,NA,NA,NA,1,"1998-04-30T00:00:00.000Z",NA,"1998-04-30T00:00:00.000Z",NA,NA,"Male and female are mouthbrooding.",NA,25780
"387",5846,12701,"Geophagus steindachneri",1672,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"bearers","external brooders",NA,NA,NA,NA,NA,339,"1998-06-30T00:00:00.000Z",97,"1998-06-30T00:00:00.000Z",NA,NA,"Very little is known of the breeding habits of this peaceful species (Ref. 12251).",NA,12372
"388",2419,5005,"Geophagus surinamensis",26504,"dioecism","external","monogamy",NA,26504,"1",NA,0,NA,"bearers","external brooders",NA,NA,NA,NA,NA,1,"1998-04-30T00:00:00.000Z",2,"2008-08-22T00:00:00.000Z",339,"1998-06-30T00:00:00.000Z","Parents form pairs. Larvophile mouthbrooder.",NA,4781
"389",8154,39621,"Geophagus taeniopareius",26504,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"guarders","clutch tenders",NA,NA,NA,NA,NA,1,"1998-04-30T00:00:00.000Z",NA,"1998-04-30T00:00:00.000Z",NA,NA,NA,NA,47052
"390",4453,8893,"Gnathochromis permaxillaris",26491,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"bearers","external brooders",NA,NA,NA,NA,NA,1,"1998-04-30T00:00:00.000Z",NA,"1998-04-30T00:00:00.000Z",NA,NA,"Males and females are mouthbrooders.",NA,8578
"391",4454,8894,"Gnathochromis pfefferi",86760,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"bearers","external brooders","maternal","1",86760,NA,NA,2,"2011-04-21T00:00:00.000Z",NA,"2011-04-21T00:00:00.000Z",NA,NA,"Eggs from the cleavage phase and larvae of up to 0.89 cm TL are mouthbrooded by male and female parents ranging from 6.7 to 7.0 cm SL (Ref. 86760).",NA,8579
